num_worker	num_threads	time_sec
6.0	3.0	-1.0
10.0	2.0	-1.0
8.0	2.0	43.42676901817322
10.0	2.0	43.7813868522644
9.0	2.0	43.85187840461731
8.0	2.0	43.967509031295776
9.0	2.0	43.99810266494751
8.0	2.0	44.091808557510376
9.0	2.0	44.11785912513733
8.0	2.0	44.191526651382446
10.0	2.0	44.22382235527039
9.0	2.0	44.32700443267822
7.0	2.0	44.34696650505066
9.0	2.0	44.38982129096985
8.0	2.0	44.40190625190735
9.0	2.0	44.47335410118103
10.0	2.0	44.4826967716217
7.0	2.0	44.49453520774841
8.0	2.0	44.5339891910553
8.0	2.0	44.55162334442139
7.0	2.0	44.578081130981445
7.0	2.0	44.589874029159546
8.0	2.0	44.60688757896423
7.0	2.0	44.66289043426514
7.0	2.0	44.67580795288086
6.0	3.0	44.676485776901245
6.0	3.0	44.75144982337952
6.0	3.0	44.82895421981812
7.0	2.0	44.85279941558838
10.0	2.0	44.85310697555542
7.0	2.0	44.8888750076294
6.0	3.0	44.907267570495605
6.0	3.0	44.9559178352356
13.0	1.0	44.95770597457886
8.0	2.0	44.99159193038941
10.0	2.0	45.0102813243866
6.0	3.0	45.01998353004456
12.0	1.0	45.02755522727966
11.0	1.0	45.03401494026184
13.0	1.0	45.09207034111023
6.0	3.0	45.104907274246216
11.0	1.0	45.12172055244446
5.0	4.0	45.13104486465454
11.0	1.0	45.17951250076294
9.0	2.0	45.23258876800537
11.0	1.0	45.2707257270813
9.0	2.0	45.3256905078888
13.0	1.0	45.33106327056885
13.0	1.0	45.34457540512085
10.0	2.0	45.35324549674988
10.0	1.0	45.39765906333923
7.0	2.0	45.43789982795715
10.0	2.0	45.457600593566895
5.0	4.0	45.46447420120239
12.0	1.0	45.47785806655884
6.0	2.0	45.48540592193604
12.0	1.0	45.53723216056824
9.0	2.0	45.5407338142395
13.0	1.0	45.56512069702149
10.0	2.0	45.59728693962097
13.0	1.0	45.59787344932556
13.0	1.0	45.61935043334961
11.0	1.0	45.6203019618988
5.0	4.0	45.621938705444336
5.0	4.0	45.63546371459961
14.0	1.0	45.64446687698364
12.0	1.0	45.73713088035584
11.0	1.0	45.767014026641846
5.0	4.0	45.79530358314514
11.0	1.0	45.95030856132507
12.0	1.0	45.97020077705383
14.0	1.0	45.99202632904053
12.0	1.0	45.993311643600464
13.0	1.0	46.03649044036865
13.0	1.0	46.03976202011109
5.0	4.0	46.05372452735901
12.0	1.0	46.08522033691406
14.0	1.0	46.08769607543945
14.0	1.0	46.09404635429382
14.0	1.0	46.122411012649536
12.0	1.0	46.12266993522644
12.0	1.0	46.20275926589966
14.0	1.0	46.25054478645325
15.0	1.0	46.25651407241821
15.0	1.0	46.31637144088745
13.0	1.0	46.32966136932373
9.0	1.0	46.42593097686768
11.0	1.0	46.43255138397217
14.0	1.0	46.49302959442139
14.0	1.0	46.4982385635376
15.0	1.0	46.5005795955658
15.0	1.0	46.51451444625855
15.0	1.0	46.532005071640015
12.0	1.0	46.581860303878784
14.0	1.0	46.595179080963135
5.0	4.0	46.62811970710754
15.0	1.0	46.707297563552856
14.0	1.0	46.73829507827759
5.0	3.0	46.78593850135803
15.0	1.0	46.824681758880615
11.0	1.0	47.117999792099
15.0	1.0	47.12593746185303
11.0	1.0	47.13976073265076
15.0	1.0	47.41548204421997
15.0	1.0	47.59001445770264
4.0	5.0	47.872923612594604
8.0	1.0	48.02996826171875
4.0	5.0	48.31533217430115
4.0	5.0	48.334709882736206
4.0	5.0	48.54148006439209
5.0	2.0	48.81194448471069
4.0	5.0	48.919662952423096
4.0	3.0	49.32728695869446
4.0	4.0	49.86383318901062
4.0	5.0	50.14921450614929
7.0	1.0	50.8845648765564
4.0	2.0	53.49390745162964
3.0	6.0	54.06391859054565
3.0	4.0	54.37176847457886
3.0	5.0	54.51035284996033
3.0	6.0	54.72996687889099
3.0	6.0	54.79790139198303
3.0	6.0	55.03633522987366
3.0	6.0	55.42316603660584
6.0	1.0	55.76771950721741
3.0	3.0	56.7036817073822
5.0	1.0	63.3326575756073
3.0	2.0	63.708189249038696
2.0	5.0	67.89658761024475
2.0	4.0	67.99061846733093
2.0	6.0	68.16918182373047
2.0	7.0	69.35948348045349
2.0	8.0	69.36995911598206
2.0	10.0	70.36544489860535
2.0	9.0	70.41523003578186
2.0	3.0	73.33148908615112
4.0	1.0	76.26059079170227
2.0	2.0	83.46719312667847
3.0	1.0	96.19099473953248
1.0	10.0	100.71380352973938
1.0	5.0	103.39977622032166
1.0	9.0	103.72823810577393
1.0	8.0	105.80604243278503
1.0	6.0	105.83194208145142
1.0	7.0	106.22159123420715
1.0	4.0	108.7773094177246
1.0	3.0	116.99067807197572
2.0	1.0	133.87663006782532
1.0	2.0	139.4093427658081
1.0	1.0	221.08201432228088
